Date,Epic,Open,High,Low,Close
01/08/2020 23:00,TRX/USDT,0.02052,0.02056,0.02044,0.02046
01/08/2020 23:00,XRP/USDT,0.29387,0.29388,0.28839,0.29089
01/08/2020 23:00,BNB/USDT,21.59,21.6499,21.4,21.6168
01/08/2020 23:00,ETH/USDT,387.33,388.07,384.08,387
01/08/2020 23:00,EOS/USDT,3.2998,3.3136,3.2764,3.3038
01/08/2020 23:00,NEO/USDT,13.334,13.455,13.266,13.396
01/08/2020 23:00,LTC/USDT,61.87,61.9,61.12,61.65
01/08/2020 23:00,LINK/USDT,8.4539,8.4539,8.302,8.3248
01/08/2020 23:00,BTC/USDT,11783.31,11820.61,11731.71,11801.17
02/08/2020 00:00,TRX/USDT,0.02047,0.02068,0.02042,0.02062
02/08/2020 00:00,XRP/USDT,0.29089,0.29423,0.28927,0.29085
02/08/2020 00:00,BNB/USDT,21.6204,21.7216,21.431,21.5604
02/08/2020 00:00,ETH/USDT,387.01,392,385.6,388.07
02/08/2020 00:00,EOS/USDT,3.3048,3.3219,3.2705,3.2912
02/08/2020 00:00,NEO/USDT,13.394,13.433,13.207,13.303
02/08/2020 00:00,LTC/USDT,61.65,62.05,60.55,61.2
02/08/2020 00:00,LINK/USDT,8.3216,8.3879,8.2269,8.3528
02/08/2020 00:00,BTC/USDT,11801.17,11857,11740,11782.63
02/08/2020 01:00,TRX/USDT,0.02061,0.0211,0.0206,0.02092
02/08/2020 01:00,XRP/USDT,0.29084,0.29509,0.29018,0.29465
02/08/2020 01:00,BNB/USDT,21.5648,22,21.5445,21.948
02/08/2020 01:00,ETH/USDT,388.08,399.36,387.66,399.29
02/08/2020 01:00,EOS/USDT,3.2916,3.3554,3.2854,3.3413
02/08/2020 01:00,NEO/USDT,13.301,13.514,13.257,13.471
02/08/2020 01:00,LTC/USDT,61.19,62.05,61.1,61.83
02/08/2020 01:00,LINK/USDT,8.3535,8.3648,8.2332,8.2604
02/08/2020 01:00,BTC/USDT,11782.63,11942.55,11772.13,11942.55
02/08/2020 02:00,TRX/USDT,0.02094,0.0211,0.02063,0.02102
02/08/2020 02:00,XRP/USDT,0.29464,0.315,0.29374,0.31217
02/08/2020 02:00,BNB/USDT,21.95,21.9873,21.7,21.8493
02/08/2020 02:00,ETH/USDT,399.3,399.54,394.7,397.17
02/08/2020 02:00,EOS/USDT,3.3421,3.401,3.3352,3.3931
02/08/2020 02:00,NEO/USDT,13.48,13.481,13.279,13.354
02/08/2020 02:00,LTC/USDT,61.84,63.6,61.64,63.38
02/08/2020 02:00,LINK/USDT,8.2574,8.3965,8.2308,8.2986
02/08/2020 02:00,BTC/USDT,11942.54,11965.01,11892.88,11928.58
02/08/2020 03:00,TRX/USDT,0.02102,0.02135,0.02086,0.02124
02/08/2020 03:00,XRP/USDT,0.31217,0.32562,0.308,0.32452
02/08/2020 03:00,BNB/USDT,21.8486,22.1832,21.6851,22.0964
02/08/2020 03:00,ETH/USDT,397.19,408,395,407.41
02/08/2020 03:00,EOS/USDT,3.3927,3.4895,3.3708,3.4706
02/08/2020 03:00,NEO/USDT,13.344,13.678,13.344,13.664
02/08/2020 03:00,LTC/USDT,63.4,65.17,62.94,64.91
02/08/2020 03:00,LINK/USDT,8.3005,8.4071,8.29,8.3481
02/08/2020 03:00,BTC/USDT,11928.4,12000,11870,12000
02/08/2020 04:00,TRX/USDT,0.02124,0.02128,0.0175,0.01917
02/08/2020 04:00,XRP/USDT,0.32443,0.32628,0.2476,0.27713
02/08/2020 04:00,BNB/USDT,22.0964,22.1466,19.1,20.0141
02/08/2020 04:00,ETH/USDT,407.35,415.85,325,372.15
02/08/2020 04:00,EOS/USDT,3.4705,3.4921,2.5435,2.9229
02/08/2020 04:00,NEO/USDT,13.664,13.765,11.1,12.128
02/08/2020 04:00,LTC/USDT,64.87,64.9,51.79,56.83
02/08/2020 04:00,LINK/USDT,8.3491,8.4317,6.87,7.6031
02/08/2020 04:00,BTC/USDT,11999.96,12123.46,10518.5,11169.84
02/08/2020 05:00,TRX/USDT,0.01917,0.01955,0.01845,0.01904
02/08/2020 05:00,XRP/USDT,0.27713,0.29589,0.27713,0.2833
02/08/2020 05:00,BNB/USDT,20.0003,20.8,19.8966,20.6727
02/08/2020 05:00,ETH/USDT,372.37,385,365.47,370.32
02/08/2020 05:00,EOS/USDT,2.9238,3.0631,2.8809,3.0043
02/08/2020 05:00,NEO/USDT,12.125,12.564,12.069,12.355
