Date,Open,High,Low,Close,Adj Close,Volume,Epic
02/03/2015,133.809998,134.572998,133.772995,133.727005,133.727005,0,EURJPY
03/03/2015,134.337997,134.369995,133.660004,134.339996,134.339996,0,EURJPY
04/03/2015,133.740997,133.779999,132.406998,133.770996,133.770996,0,EURJPY
05/03/2015,132.554001,133.585999,132.117996,132.550003,132.550003,0,EURJPY
06/03/2015,132.460007,132.5,131.229004,132.419998,132.419998,0,EURJPY
09/03/2015,130.897995,131.692993,130.856003,130.931,130.931,0,EURJPY
10/03/2015,131.552002,131.854004,129.759995,131.522003,131.522003,0,EURJPY
11/03/2015,129.626007,129.938004,128.225006,129.600998,129.600998,0,EURJPY
12/03/2015,128.089005,128.987,127.667999,128.061005,128.061005,0,EURJPY
13/03/2015,128.869003,128.990005,127.167,128.889999,128.889999,0,EURJPY
16/03/2015,127.223,128.600006,127.208,127.18,127.18,0,EURJPY
17/03/2015,128.289993,129.128006,128.080002,128.309998,128.309998,0,EURJPY
18/03/2015,128.503006,128.815002,128.259995,128.546005,128.546005,0,EURJPY
19/03/2015,130.197998,130.727997,128.386993,130.257004,130.257004,0,EURJPY
20/03/2015,128.854004,130.473007,128.710007,128.820999,128.820999,0,EURJPY
23/03/2015,129.876999,130.927002,129.302994,129.889008,129.889008,0,EURJPY
24/03/2015,131.044006,131.5,130.350998,131.082993,131.082993,0,EURJPY
25/03/2015,130.621002,131.380005,130.600998,130.613998,130.613998,0,EURJPY
26/03/2015,131.039993,131.044006,129.919998,131.009003,131.009003,0,EURJPY
27/03/2015,129.75,129.852005,129.029999,129.727005,129.727005,0,EURJPY
30/03/2015,129.761002,130.162994,129.330002,129.787003,129.787003,0,EURJPY
31/03/2015,129.957993,130.233002,128.684006,129.957993,129.957993,0,EURJPY
01/04/2015,128.839005,129.397003,128.432999,128.863007,128.863007,0,EURJPY
02/04/2015,128.761993,130.371994,128.610001,128.776001,128.776001,0,EURJPY
03/04/2015,130.097,130.955002,130.016006,130.110001,130.110001,0,EURJPY
06/04/2015,130.701004,131.276993,130.498993,130.701004,130.701004,0,EURJPY
07/04/2015,130.641006,131.009995,130.089996,130.626007,130.626007,0,EURJPY
08/04/2015,130.156006,130.320007,129.442993,130.171005,130.171005,0,EURJPY
09/04/2015,129.509003,129.755997,128.389008,129.511002,129.511002,0,EURJPY
10/04/2015,128.593994,128.759995,127.278,128.576996,128.576996,0,EURJPY
13/04/2015,127.490997,127.802002,126.598,127.517998,127.517998,0,EURJPY
14/04/2015,126.919998,127.581001,126.086998,126.919998,126.919998,0,EURJPY
15/04/2015,127.170998,127.440002,126.301003,127.170998,127.170998,0,EURJPY
16/04/2015,127.182999,128.078003,126.793999,127.202003,127.202003,0,EURJPY
17/04/2015,128.070999,128.690002,127.792999,128.074005,128.074005,0,EURJPY
20/04/2015,128.408005,128.654999,127.606003,128.419998,128.419998,0,EURJPY
21/04/2015,128.138,128.666,127.470001,128.115005,128.115005,0,EURJPY
22/04/2015,128.457993,128.932999,128.201004,128.498993,128.498993,0,EURJPY
23/04/2015,128.625,129.475998,127.887001,128.632996,128.632996,0,EURJPY
24/04/2015,129.307007,130.104004,128.839005,129.309998,129.309998,0,EURJPY
27/04/2015,129.229996,129.860992,129.005005,129.223999,129.223999,0,EURJPY
