Date,Open,High,Low,Close,Adj Close,Volume,Epic
02/03/2015,0.755059,0.755687,0.751484,0.754888,0.754888,0,NZDUSD
03/03/2015,0.750582,0.756716,0.750413,0.750582,0.750582,0,NZDUSD
04/03/2015,0.756029,0.761209,0.75466,0.756258,0.756258,0,NZDUSD
05/03/2015,0.758956,0.759647,0.747161,0.759129,0.759129,0,NZDUSD
06/03/2015,0.748895,0.75171,0.737137,0.749008,0.749008,0,NZDUSD
09/03/2015,0.736431,0.73888,0.732601,0.736377,0.736377,0,NZDUSD
10/03/2015,0.733999,0.733999,0.726269,0.734107,0.734107,0,NZDUSD
11/03/2015,0.729075,0.729874,0.719787,0.729182,0.729182,0,NZDUSD
12/03/2015,0.730674,0.743605,0.729075,0.730674,0.730674,0,NZDUSD
13/03/2015,0.740796,0.740796,0.731582,0.740576,0.740576,0,NZDUSD
16/03/2015,0.731904,0.740192,0.731904,0.731904,0.731904,0,NZDUSD
17/03/2015,0.738007,0.740576,0.731797,0.738062,0.738062,0,NZDUSD
18/03/2015,0.731582,0.737191,0.72759,0.731582,0.731582,0,NZDUSD
19/03/2015,0.750075,0.753693,0.737626,0.750582,0.750582,0,NZDUSD
20/03/2015,0.743494,0.756601,0.742391,0.743218,0.743218,0,NZDUSD
23/03/2015,0.757117,0.766518,0.755173,0.757002,0.757002,0,NZDUSD
24/03/2015,0.765814,0.769823,0.762021,0.765521,0.765521,0,NZDUSD
25/03/2015,0.762776,0.769112,0.760688,0.762486,0.762486,0,NZDUSD
26/03/2015,0.75861,0.766518,0.757461,0.758495,0.758495,0,NZDUSD
27/03/2015,0.75884,0.759878,0.754717,0.759186,0.759186,0,NZDUSD
30/03/2015,0.75466,0.754888,0.750019,0.754717,0.754717,0,NZDUSD
31/03/2015,0.750019,0.751089,0.745823,0.750131,0.750131,0,NZDUSD
01/04/2015,0.74499,0.749176,0.739372,0.744546,0.744546,0,NZDUSD
02/04/2015,0.744269,0.751597,0.742887,0.744103,0.744103,0,NZDUSD
03/04/2015,0.750751,0.763126,0.74985,0.750694,0.750694,0,NZDUSD
06/04/2015,0.761557,0.762253,0.759129,0.761673,0.761673,0,NZDUSD
07/04/2015,0.753579,0.756716,0.750525,0.753579,0.753579,0,NZDUSD
08/04/2015,0.750807,0.760919,0.750807,0.750751,0.750751,0,NZDUSD
09/04/2015,0.755401,0.760572,0.753125,0.755401,0.755401,0,NZDUSD
10/04/2015,0.757461,0.759705,0.751597,0.757633,0.757633,0,NZDUSD
13/04/2015,0.753466,0.75392,0.742391,0.753807,0.753807,0,NZDUSD
14/04/2015,0.746213,0.75523,0.744048,0.746213,0.746213,0,NZDUSD
15/04/2015,0.751202,0.756201,0.749232,0.751202,0.751202,0,NZDUSD
16/04/2015,0.759129,0.766401,0.758668,0.758956,0.758956,0,NZDUSD
17/04/2015,0.765228,0.774174,0.764701,0.765287,0.765287,0,NZDUSD
20/04/2015,0.770535,0.77238,0.765521,0.770535,0.770535,0,NZDUSD
21/04/2015,0.76599,0.771307,0.763709,0.766107,0.766107,0,NZDUSD
22/04/2015,0.766812,0.773814,0.76599,0.767224,0.767224,0,NZDUSD
23/04/2015,0.764117,0.764175,0.754318,0.764292,0.764292,0,NZDUSD
24/04/2015,0.757863,0.760803,0.754717,0.757978,0.757978,0,NZDUSD
27/04/2015,0.760572,0.76558,0.759301,0.760977,0.760977,0,NZDUSD
28/04/2015,0.762835,0.773874,0.762021,0.762893,0.762893,0,NZDUSD
29/04/2015,0.77232,0.773814,0.767342,0.77238,0.77238,0,NZDUSD
30/04/2015,0.760803,0.763592,0.757978,0.760572,0.760572,0,NZDUSD
01/05/2015,0.760225,0.761093,0.751484,0.760514,0.760514,0,NZDUSD
04/05/2015,0.752615,0.755687,0.751033,0.752615,0.752615,0,NZDUSD
05/05/2015,0.754091,0.757518,0.749176,0.754091,0.754091,0,NZDUSD
06/05/2015,0.750075,0.755116,0.746157,0.750075,0.750075,0,NZDUSD
07/05/2015,0.748783,0.752899,0.742832,0.749008,0.749008,0,NZDUSD
08/05/2015,0.744103,0.749906,0.742446,0.744325,0.744325,0,NZDUSD
11/05/2015,0.74228,0.742777,0.734916,0.742501,0.742501,0,NZDUSD
12/05/2015,0.734214,0.740192,0.732977,0.73443,0.73443,0,NZDUSD
